instrument_id,ticker,yahoo_symbol,company,sector,subsector,exchange,region,asset_type,primary_source,secondary_source,fred_series_id,source_url_yahoo,source_url_fred,market_timezone,market_close_local,refresh_group,is_active,theme_energy,theme_shipping,theme_china,theme_war,theme_liquidity,notes,source_notes,theme_rates,theme_credit
BKR,BKR,BKR,Baker Hughes Company,Energy,Oilfield Services,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/BKR,,America/New_York,16:00,US_EOD,True,,,,,,Turbomaquinaria / gas services,Bloomberg; Refinitiv,,
BP,BP,BP,BP p.l.c.,Energy,Integrated Oil & Gas,NYSE,EU,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/BP,,America/New_York,16:00,US_EOD,True,,,,,,Major global / refino y trading,Bloomberg; Refinitiv,,
BZ_F,BZ=F,BZ=F,Brent Crude,Energy,Oil Futures,ICE,Global,Future,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/BZ=F,,UTC,23:30,GLOBAL_DAILY,True,,,,,,Global benchmark,Bloomberg; Refinitiv,,
CL_F,CL=F,CL=F,WTI Crude Oil,Energy,Oil Futures,NYMEX,Global,Future,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/CL=F,,UTC,23:30,GLOBAL_DAILY,True,,,,,,Shock directo Ormuz,Bloomberg; Refinitiv,,
COP,COP,COP,ConocoPhillips,Energy,Upstream E&P,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/COP,,America/New_York,16:00,US_EOD,True,,,,,,Puro upstream,Bloomberg; Refinitiv,,
CVX,CVX,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/CVX,,America/New_York,16:00,US_EOD,True,,,,,,Upstream fuerte,Bloomberg; Refinitiv,,
E,E,E,Eni S.p.A. ADR,Energy,Integrated Oil & Gas,NYSE,EU,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/E,,America/New_York,16:00,US_EOD,True,,,,,,Exposición Mediterráneo y gas,Bloomberg; Refinitiv,,
ENB,ENB,ENB,Enbridge Inc.,Energy,Midstream,NYSE,Canada,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ENB,,America/New_York,16:00,US_EOD,True,,,,,,Oleoductos y gasoductos,Bloomberg; Refinitiv,,
ENPH,ENPH,ENPH,Enphase,Energy,Solar,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ENPH,,America/New_York,16:00,US_EOD,True,3.0,1.0,1.0,1.0,1.0,Renovables,Bloomberg; Refinitiv,,
EOG,EOG,EOG,"EOG Resources, Inc.",Energy,Upstream E&P,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/EOG,,America/New_York,16:00,US_EOD,True,,,,,,Shale de alta calidad,Bloomberg; Refinitiv,,
EQNR,EQNR,EQNR,Equinor ASA,Energy,Integrated Oil & Gas,NYSE,EU,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/EQNR,,America/New_York,16:00,US_EOD,True,,,,,,Europa gas,Bloomberg; Refinitiv,,
FCX,FCX,FCX,Freeport-McMoRan Inc.,Energy,Copper / Base Metals,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/FCX,,America/New_York,16:00,US_EOD,True,,,,,,Cobre global,Bloomberg; Refinitiv,,
FNV,FNV,FNV,Franco-Nevada Corporation,Energy,Precious Metals Royalty,NYSE,Canada,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/FNV,,America/New_York,16:00,US_EOD,True,,,,,,Royalty/streaming premium,Bloomberg; Refinitiv,,
GOLD,GOLD,GOLD,Barrick Gold Corporation,Energy,Gold,NYSE,Canada,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/GOLD,,America/New_York,16:00,US_EOD,True,,,,,,Oro de gran escala,Bloomberg; Refinitiv,,
HAL,HAL,HAL,Halliburton Company,Energy,Oilfield Services,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/HAL,,America/New_York,16:00,US_EOD,True,,,,,,Fracking y completación,Bloomberg; Refinitiv,,
KMI,KMI,KMI,"Kinder Morgan, Inc.",Energy,Midstream,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/KMI,,America/New_York,16:00,US_EOD,True,,,,,,Gas natural USA,Bloomberg; Refinitiv,,
LNG,LNG,LNG,"Cheniere Energy, Inc.",Energy,LNG / Export,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/LNG,,America/New_York,16:00,US_EOD,True,,,,,,Exportador LNG USA,Bloomberg; Refinitiv,,
NEM,NEM,NEM,Newmont Corporation,Energy,Gold,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/NEM,,America/New_York,16:00,US_EOD,True,,,,,,Mayor productor aurífero,Bloomberg; Refinitiv,,
NG_F,NG=F,NG=F,Natural Gas,Energy,Gas Futures,NYMEX,Global,Future,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/NG=F,,UTC,23:30,GLOBAL_DAILY,True,,,,,,LNG impacto,Bloomberg; Refinitiv,,
OXY,OXY,OXY,Occidental Petroleum Corporation,Energy,Upstream E&P,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/OXY,,America/New_York,16:00,US_EOD,True,,,,,,Permian + químicos,Bloomberg; Refinitiv,,
PBR,PBR,PBR,Petróleo Brasileiro S.A. - Petrobras,Energy,Integrated Oil & Gas,NYSE,Brazil,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/PBR,,America/New_York,16:00,US_EOD,True,,,,,,Exposición offshore presal,Bloomberg; Refinitiv,,
RIO,RIO,RIO,Rio Tinto plc ADR,Energy,Diversified Mining,NYSE,UK/Australia,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/RIO,,America/New_York,16:00,US_EOD,True,,,,,,"Hierro dominante, cobre y aluminio",Bloomberg; Refinitiv,,
SCCO,SCCO,SCCO,Southern Copper Corporation,Energy,Copper / Base Metals,NYSE,LATAM,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/SCCO,,America/New_York,16:00,US_EOD,True,,,,,,Cobre Perú/México,Bloomberg; Refinitiv,,
SHEL,SHEL,SHEL,Shell plc,Energy,Integrated Oil & Gas,NYSE,EU,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/SHEL,,America/New_York,16:00,US_EOD,True,,,,,,LNG líder,Bloomberg; Refinitiv,,
SLB,SLB,SLB,SLB,Energy,Oilfield Services,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/SLB,,America/New_York,16:00,US_EOD,True,,,,,,Servicios petroleros globales,Bloomberg; Refinitiv,,
SQM,SQM,SQM,Sociedad Química y Minera de Chile S.A. ADR,Energy,Lithium / Battery Materials,NYSE,Chile,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/SQM,,America/New_York,16:00,US_EOD,True,,,,,,Litio Salar de Atacama,Bloomberg; Refinitiv,,
TECK,TECK,TECK,Teck Resources Limited,Energy,Diversified Mining,NYSE,Canada,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/TECK,,America/New_York,16:00,US_EOD,True,,,,,,Metales base / steelmaking coal,Bloomberg; Refinitiv,,
TRP,TRP,TRP,TC Energy Corporation,Energy,Midstream,NYSE,Canada,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/TRP,,America/New_York,16:00,US_EOD,True,,,,,,Gasoductos Norteamérica,Bloomberg; Refinitiv,,
TTE,TTE,TTE,TotalEnergies SE,Energy,Integrated Oil & Gas,NYSE,EU,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/TTE,,America/New_York,16:00,US_EOD,True,,,,,,Global LNG,Bloomberg; Refinitiv,,
USO,USO,USO,,Energy,,,Global,ETF,Yahoo Finance,,,,,,,,True,True,False,False,True,False,,,False,False
VALE,VALE,VALE,Vale S.A. ADR,Energy,Diversified Mining,NYSE,Brazil,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/VALE,,America/New_York,16:00,US_EOD,True,,,,,,Hierro Brasil / níquel,Bloomberg; Refinitiv,,
WMB,WMB,WMB,"The Williams Companies, Inc.",Energy,Midstream,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/WMB,,America/New_York,16:00,US_EOD,True,,,,,,Infraestructura gasista,Bloomberg; Refinitiv,,
WPM,WPM,WPM,Wheaton Precious Metals Corp.,Energy,Precious Metals Royalty,NYSE,Canada,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/WPM,,America/New_York,16:00,US_EOD,True,,,,,,Streaming precious metals,Bloomberg; Refinitiv,,
XOM,XOM,XOM,Exxon Mobil Corporation,Energy,Integrated Oil & Gas,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/XOM,,America/New_York,16:00,US_EOD,True,3.0,2.0,1.0,3.0,1.0,Major global,Bloomberg; Refinitiv,,
YPF,YPF,YPF,YPF S.A. ADR,Energy,Integrated Oil & Gas,NYSE,Argentina,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/YPF,,America/New_York,16:00,US_EOD,True,,,,,,Vaca Muerta proxy,Bloomberg; Refinitiv,,
SPY,SPY,SPY,,Equity,,,US,ETF,Yahoo Finance,,,,,,,,True,False,False,False,False,True,,,False,False
PYPL,PYPL,PYPL,PayPal,Financials,Digital Payments,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/PYPL,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,2.0,Fintech,Bloomberg; Refinitiv,,
XYZ,XYZ,XYZ,Block,Financials,Fintech,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/XYZ,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,3.0,Crypto exposure,Bloomberg; Refinitiv,,
TSI,TSI,TSI,Freight Transportation Services Index,Freight Aggregate,Transportation Services,U.S. macro series,USA,Macro / Economic Index,Bloomberg,Bloomberg; Refinitiv; FRED,,,,America/New_York,16:00,US_EOD,True,,,,,,"Proxy de actividad agregada de transporte; Serie macro, no equity",Bloomberg; Refinitiv; FRED,,
GLD,GLD,GLD,,Gold,,,Global,ETF,Yahoo Finance,,,,,,,,True,False,False,False,True,False,,,False,False
AMGN,AMGN,AMGN,Amgen,Healthcare,Biotech,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/AMGN,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Defensivo,Bloomberg; Refinitiv,,
GILD,GILD,GILD,Gilead,Healthcare,Biotech,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/GILD,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Defensivo,Bloomberg; Refinitiv,,
ISRG,ISRG,ISRG,Intuitive Surgical,Healthcare,Medtech,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ISRG,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Defensivo,Bloomberg; Refinitiv,,
REGN,REGN,REGN,Regeneron,Healthcare,Biotech,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/REGN,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Defensivo,Bloomberg; Refinitiv,,
VRTX,VRTX,VRTX,Vertex Pharma,Healthcare,Biotech,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/VRTX,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Defensivo,Bloomberg; Refinitiv,,
ADP,ADP,ADP,ADP,Industrials,HR Services,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ADP,,America/New_York,16:00,US_EOD,True,0.0,0.0,1.0,1.0,1.0,Defensivo,Bloomberg; Refinitiv,,
CSX,CSX,CSX,CSX,Industrials,Rail Transport,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/CSX,,America/New_York,16:00,US_EOD,True,2.0,2.0,0.0,1.0,1.0,Logística USA,Bloomberg; Refinitiv,,
AJG,AJG,AJG,Arthur J. Gallagher & Co.,Insurance Broker,Commercial Insurance / Benefits / P&C brokerage,NYSE,USA / Global,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/AJG,,America/New_York,16:00,US_EOD,True,,,,,,Exposición indirecta a líneas marine y transport; Broker diversificado,Bloomberg; Refinitiv,,
AON,AON,AON,Aon plc,Insurance Broker,Commercial Insurance / Reinsurance Brokerage,NYSE,Global,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/AON,,America/New_York,16:00,US_EOD,True,,,,,,Exposición a coberturas corporativas; Relevante para pricing de riesgo,Bloomberg; Refinitiv,,
MMC,MMC,MMC,"Marsh & McLennan Companies, Inc.",Insurance Broker,Commercial Insurance / Reinsurance Brokerage,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/MMC,,America/New_York,16:00,US_EOD,True,,,,,,Exposición indirecta a marine / logistics risk; “MRSH” no es el ticker; el correcto es MMC,Bloomberg; Refinitiv,,
TRV,TRV,TRV,"The Travelers Companies, Inc.",Insurer,P&C Insurance,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/TRV,,America/New_York,16:00,US_EOD,True,,,,,,"Exposición indirecta a transporte / property-casualty; No broker, sino aseguradora",Bloomberg; Refinitiv,,
CHRW,CHRW,CHRW,"C.H. Robinson Worldwide, Inc.",Logistics,3PL / Brokerage,NASDAQ,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/CHRW,,America/New_York,16:00,US_EOD,True,,,,,,Intermediación logística; Referencia de brokerage freight USA,Bloomberg; Refinitiv,,
EXPD,EXPD,EXPD,"Expeditors International of Washington, Inc.",Logistics,Freight Forwarding,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/EXPD,,America/New_York,16:00,US_EOD,True,,,,,,Proxy asset-light de forwarding; Alta sensibilidad a volúmenes y yields,Bloomberg; Refinitiv,,
FDX,FDX,FDX,FedEx Corporation,Logistics,Parcel / Integrated,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/FDX,,America/New_York,16:00,US_EOD,True,,,,,,Player global de transporte exprés; Sensible a demanda industrial y e-commerce,Bloomberg; Refinitiv,,
GXO,GXO,GXO,"GXO Logistics, Inc.",Logistics,Contract Logistics,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/GXO,,America/New_York,16:00,US_EOD,True,,,,,,"Exposición a fulfillment y warehousing; Menor exposición directa a océano, sí a cadena logística",Bloomberg; Refinitiv,,
UPS,UPS,UPS,"United Parcel Service, Inc.",Logistics,Parcel / Integrated,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/UPS,,America/New_York,16:00,US_EOD,True,,,,,,Player global de paquetería y supply chain; Proxy de actividad logística y B2B shipments,Bloomberg; Refinitiv,,
XPO,XPO,XPO,"XPO, Inc.",Logistics,LTL / Brokerage / Logistics,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/XPO,,America/New_York,16:00,US_EOD,True,,,,,,Player de transporte terrestre y logística; Señal de actividad industrial / domestic freight,Bloomberg; Refinitiv,,
CUSTOM,CUSTOM,CUSTOM,Logistics Circle / Transmission Basket,Logistics Circle,Logistics Ecosystem,User-defined,Global,Basket / Custom,Bloomberg,Bloomberg; Refinitiv,,,,UTC,23:30,GLOBAL_DAILY,True,,,,,,Cesta de players y cotizantes; Conviene construir basket temático,Bloomberg; Refinitiv,,
DAC,DAC,DAC,Danaos Corporation,Ocean Shipping,Containership Lessor,NYSE,Global / Greece-linked,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/DAC,,America/New_York,16:00,US_EOD,True,,,,,,Owner / lessor con sensibilidad a charter rates; Exposición a time charters,Bloomberg; Refinitiv,,
MATX,MATX,MATX,"Matson, Inc.",Ocean Shipping,Jones Act / Ocean Transport,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/MATX,,America/New_York,16:00,US_EOD,True,,,,,,Exposición marítima e intermodal; Más defensivo que liners globales,Bloomberg; Refinitiv,,
ZIM,ZIM,ZIM,ZIM Integrated Shipping Services Ltd.,Ocean Shipping,Container Shipping,NYSE,Israel / Global,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/ZIM,,America/New_York,16:00,US_EOD,True,,,,,,Pure play de contenedores; Muy sensible a freight rates spot,Bloomberg; Refinitiv,,
CNI,CNI,CNI,Canadian National Railway Company,Rail,Class I Railroad,NYSE,Canada,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/CNI,,America/New_York,16:00,US_EOD,True,,,,,,Red transfronteriza Canadá-USA; Fuerte componente intermodal y puertos,Bloomberg; Refinitiv,,
CP,CP,CP,Canadian Pacific Kansas City Limited,Rail,Class I Railroad,NYSE,Canada,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/CP,,America/New_York,16:00,US_EOD,True,,,,,,Red Norteamérica integrada; Ticker histórico citado como CP,Bloomberg; Refinitiv,,
NSC,NSC,NSC,Norfolk Southern Corporation,Rail,Class I Railroad,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/NSC,,America/New_York,16:00,US_EOD,True,,,,,,Benchmark rail USA este; Intermodal / mercancías industriales,Bloomberg; Refinitiv,,
UNP,UNP,UNP,Union Pacific Corporation,Rail,Class I Railroad,NYSE,USA,Equity,Yahoo Finance,Bloomberg; Refinitiv,,https://finance.yahoo.com/quote/UNP,,America/New_York,16:00,US_EOD,True,,,,,,Benchmark rail USA oeste; Alta exposición a intermodal e industrial,Bloomberg; Refinitiv,,
DGS2,DGS2,DGS2,2-Year Treasury Constant Maturity Rate,Rates,US Treasury Yield,,USA,Macro Series,FRED,,DGS2,,https://fred.stlouisfed.org/series/DGS2,America/New_York,16:00,US_EOD,True,,,,,,FRED macro series,FRED,,
DGS30,DGS30,DGS30,30-Year Treasury Constant Maturity Rate,Rates,US Treasury Yield,,USA,Macro Series,FRED,,DGS30,,https://fred.stlouisfed.org/series/DGS30,America/New_York,16:00,US_EOD,True,,,,,,FRED macro series,FRED,,
INSURANCE_COST_PROXY,INSURANCE COST PROXY,INSURANCE COST PROXY,Marine Insurance / Coverage Cost Proxy,Risk / Insurance,Coverage Cost,Provider-dependent,Global,Composite / Custom,Bloomberg,Bloomberg; Refinitiv,,,,UTC,23:30,GLOBAL_DAILY,True,,,,,,"Señal de prima / hardening market; Suele modelarse con proxies, no con un ticker único",Bloomberg; Refinitiv,,
