Ticker,Company,Sector,Subsector,Exchange,Region,asset_type,Data_Providers,Notas,Energy,Shipping,China,War,Liquidity,,
SNPS,Synopsys,Technology,EDA Software,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Duopolio,0,0,2,1,1,,
CDNS,Cadence,Technology,EDA Software,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Duopolio,0,0,2,1,1,,
MAR,Marriott,Consumer Discretionary,Hotels,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Turismo global,1,2,2,2,1,,
PYPL,PayPal,Financials,Digital Payments,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Fintech,0,0,1,1,2,,
MRVL,Marvell,Technology,Semiconductors,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Data centers,1,1,3,2,1,,
ABNB,Airbnb,Consumer Discretionary,Travel,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Turismo global,1,2,2,2,1,,
MELI,MercadoLibre,Consumer Discretionary,E-commerce,NASDAQ,LATAM,Equity,Bloomberg;Refinitiv,LATAM exposure,1,2,1,2,2,,
DASH,DoorDash,Consumer Discretionary,Delivery,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Consumo doméstico,1,1,1,1,1,,
CRWD,CrowdStrike,Technology,Cybersecurity,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Riesgo geopolítico,0,0,1,3,1,,
FTNT,Fortinet,Technology,Cybersecurity,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Similar PANW,0,0,1,3,1,,
ROST,Ross Stores,Consumer Discretionary,Discount Retail,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Inflación +,1,1,1,1,1,,
ORLY,O'Reilly Automotive,Consumer Discretionary,Auto Parts,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Resiliente ciclo,1,1,1,1,1,,
NXPI,NXP Semiconductors,Technology,Semiconductors,NASDAQ,USA/EU,Equity,Bloomberg;Refinitiv,Auto + industrial,1,1,3,2,1,,
CSX,CSX,Industrials,Rail Transport,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Logística USA,2,2,0,1,1,,
REGN,Regeneron,Healthcare,Biotech,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Defensivo,0,0,1,1,1,,
ASML,ASML,Technology,Semiconductor Equipment,Euronext/NASDAQ,EU,Equity,Bloomberg;Refinitiv,Monopolio crítico,1,1,3,2,1,,
ARM,ARM Holdings,Technology,Chip Design,NASDAQ,UK/USA,Equity,Bloomberg;Refinitiv,Arquitectura global,0,1,3,2,1,,
MDB,MongoDB,Technology,Database,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Data infra,0,0,1,1,1,,
SMCI,Super Micro,Technology,AI Servers,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Alta beta IA,1,1,2,2,2,,
ANET,Arista Networks,Technology,Networking,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Data centers,1,1,2,1,1,,
NOW,ServiceNow,Technology,SaaS,NYSE,USA,Equity,Bloomberg;Refinitiv,Enterprise software,0,0,1,1,1,,
SNOW,Snowflake,Technology,Data Cloud,NYSE,USA,Equity,Bloomberg;Refinitiv,Data infra,0,0,1,1,2,,
DDOG,Datadog,Technology,Observability,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Infra cloud,0,0,1,1,1,,
ZS,Zscaler,Technology,Cybersecurity,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Zero trust,0,0,1,2,1,,
NET,Cloudflare,Technology,Web Infrastructure,NYSE,USA,Equity,Bloomberg;Refinitiv,Edge network,0,1,2,2,1,,
XYZ,Block,Financials,Fintech,NYSE,USA,Equity,Bloomberg;Refinitiv,Crypto exposure,0,0,1,1,3,,
SHOP,Shopify,Technology,E-commerce Platform,NASDAQ,CAN,Equity,Bloomberg;Refinitiv,SMB exposure,1,2,1,1,2,,
VRTX,Vertex Pharma,Healthcare,Biotech,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Defensivo,0,0,1,1,1,,
ENPH,Enphase,Energy,Solar,NASDAQ,USA,Equity,Bloomberg;Refinitiv,Renovables,3,1,1,1,1,,
QQQ,Invesco QQQ ETF,ETF,Tech Index,NASDAQ,USA,ETF,Bloomberg;Refinitiv;Yahoo,Proxy Nasdaq,1,1,2,2,1,,
SMH,VanEck Semiconductor ETF,ETF,Semiconductors,NASDAQ,USA,ETF,Bloomberg;Refinitiv;Yahoo,Proxy semis,1,1,3,2,1,,
,,,,,,,,,,,,,,,
ENERGÍA,,,,,,,,,,,,,,,energía 
,,,,,,,,,,,,,,,
Ticker,Company,Subsector,Exchange,Region,Asset_Type,Data_Providers,Notas,,,,,,,,
CL=F,WTI Crude Oil,Oil Futures,NYMEX,Global,Future,Bloomberg; Refinitiv,Shock directo Ormuz,,,,,,,,
BZ=F,Brent Crude,Oil Futures,ICE,Global,Future,Bloomberg; Refinitiv,Global benchmark,,,,,,,,
NG=F,Natural Gas,Gas Futures,NYMEX,Global,Future,Bloomberg; Refinitiv,LNG impacto,,,,,,,,
XOM,Exxon Mobil Corporation,Integrated Oil & Gas,NYSE,USA,Equity,Bloomberg; Refinitiv,Major global,,,,,,,,
CVX,Chevron Corporation,Integrated Oil & Gas,NYSE,USA,Equity,Bloomberg; Refinitiv,Upstream fuerte,,,,,,,,
SHEL,Shell plc,Integrated Oil & Gas,NYSE,EU,Equity,Bloomberg; Refinitiv,LNG líder,,,,,,,,
TTE,TotalEnergies SE,Integrated Oil & Gas,NYSE,EU,Equity,Bloomberg; Refinitiv,Global LNG,,,,,,,,
EQNR,Equinor ASA,Integrated Oil & Gas,NYSE,EU,Equity,Bloomberg; Refinitiv,Europa gas,,,,,,,,
BP,BP p.l.c.,Integrated Oil & Gas,NYSE,EU,Equity,Bloomberg; Refinitiv,Major global / refino y trading,,,,,,,,
PBR,Petróleo Brasileiro S.A. - Petrobras,Integrated Oil & Gas,NYSE,Brazil,Equity,Bloomberg; Refinitiv,Exposición offshore presal,,,,,,,,
E,Eni S.p.A. ADR,Integrated Oil & Gas,NYSE,EU,Equity,Bloomberg; Refinitiv,Exposición Mediterráneo y gas,,,,,,,,
YPF,YPF S.A. ADR,Integrated Oil & Gas,NYSE,Argentina,Equity,Bloomberg; Refinitiv,Vaca Muerta proxy,,,,,,,,
COP,ConocoPhillips,Upstream E&P,NYSE,USA,Equity,Bloomberg; Refinitiv,Puro upstream,,,,,,,,
OXY,Occidental Petroleum Corporation,Upstream E&P,NYSE,USA,Equity,Bloomberg; Refinitiv,Permian + químicos,,,,,,,,
EOG,"EOG Resources, Inc.",Upstream E&P,NYSE,USA,Equity,Bloomberg; Refinitiv,Shale de alta calidad,,,,,,,,
SLB,SLB,Oilfield Services,NYSE,USA,Equity,Bloomberg; Refinitiv,Servicios petroleros globales,,,,,,,,
HAL,Halliburton Company,Oilfield Services,NYSE,USA,Equity,Bloomberg; Refinitiv,Fracking y completación,,,,,,,,
BKR,Baker Hughes Company,Oilfield Services,NASDAQ,USA,Equity,Bloomberg; Refinitiv,Turbomaquinaria / gas services,,,,,,,,
LNG,"Cheniere Energy, Inc.",LNG / Export,NYSE,USA,Equity,Bloomberg; Refinitiv,Exportador LNG USA,,,,,,,,
ENB,Enbridge Inc.,Midstream,NYSE,Canada,Equity,Bloomberg; Refinitiv,Oleoductos y gasoductos,,,,,,,,
TRP,TC Energy Corporation,Midstream,NYSE,Canada,Equity,Bloomberg; Refinitiv,Gasoductos Norteamérica,,,,,,,,
KMI,"Kinder Morgan, Inc.",Midstream,NYSE,USA,Equity,Bloomberg; Refinitiv,Gas natural USA,,,,,,,,
WMB,"The Williams Companies, Inc.",Midstream,NYSE,USA,Equity,Bloomberg; Refinitiv,Infraestructura gasista,,,,,,,,
BHP,BHP Group Limited ADR,Diversified Mining,NYSE,Australia,Equity,Bloomberg; Refinitiv,"Hierro, cobre, carbón, potasa",,,,,,,,
RIO,Rio Tinto plc ADR,Diversified Mining,NYSE,UK/Australia,Equity,Bloomberg; Refinitiv,"Hierro dominante, cobre y aluminio",,,,,,,,
VALE,Vale S.A. ADR,Diversified Mining,NYSE,Brazil,Equity,Bloomberg; Refinitiv,Hierro Brasil / níquel,,,,,,,,
FCX,Freeport-McMoRan Inc.,Copper / Base Metals,NYSE,USA,Equity,Bloomberg; Refinitiv,Cobre global,,,,,,,,
SCCO,Southern Copper Corporation,Copper / Base Metals,NYSE,LATAM,Equity,Bloomberg; Refinitiv,Cobre Perú/México,,,,,,,,
TECK,Teck Resources Limited,Diversified Mining,NYSE,Canada,Equity,Bloomberg; Refinitiv,Metales base / steelmaking coal,,,,,,,,
ALB,Albemarle Corporation,Lithium / Battery Materials,NYSE,USA,Equity,Bloomberg; Refinitiv,Litio y materiales batería,,,,,,,,
SQM,Sociedad Química y Minera de Chile S.A. ADR,Lithium / Battery Materials,NYSE,Chile,Equity,Bloomberg; Refinitiv,Litio Salar de Atacama,,,,,,,,
NEM,Newmont Corporation,Gold,NYSE,USA,Equity,Bloomberg; Refinitiv,Mayor productor aurífero,,,,,,,,
GOLD,Barrick Gold Corporation,Gold,NYSE,Canada,Equity,Bloomberg; Refinitiv,Oro de gran escala,,,,,,,,
AEM,Agnico Eagle Mines Limited,Gold,NYSE,Canada,Equity,Bloomberg; Refinitiv,Oro tier-1 jurisdicciones,,,,,,,,
WPM,Wheaton Precious Metals Corp.,Precious Metals Royalty,NYSE,Canada,Equity,Bloomberg; Refinitiv,Streaming precious metals,,,,,,,,
FNV,Franco-Nevada Corporation,Precious Metals Royalty,NYSE,Canada,Equity,Bloomberg; Refinitiv,Royalty/streaming premium,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Energy,Shipping,China,War,Liquidity,,,,,,,,,,
XOM,3,2,1,3,1,,,,,,,,,,
FRO,2,3,2,3,1,,,,,,,,,,
NVDA,1,2,3,2,1,,,,,,,,,,
BX,0,0,1,2,3,,,,,,,,,,
DGS2,,,,,,,,,,,,,,,
DGS30,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
FREIGHTS FLETES LOGISTICA SEGUROS TRANSPORTES CONTENEDORES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker / Code,Company / Name,Category,Subcategory,Instrument_Type,Exchange / Source,Region,Exposure,Role_in_Theme,Data_Providers,Notes,,,,,
BDI,Baltic Dry Index,Shipping Benchmark,Dry Bulk Freight,Index,Baltic Exchange,Global,Dry bulk shipping rates,Benchmark principal de fletes secos,Bloomberg; Refinitiv,"Índice spot de dry bulk, no equity",,,,,
BDTI,Baltic Dirty Tanker Index,Shipping Benchmark,Dirty Tanker Freight,Index,Baltic Exchange,Global,Crude / dirty tanker freight,Benchmark de tanker sucio,Bloomberg; Refinitiv,Proxy de rutas de crudo,,,,,
BCTI,Baltic Clean Tanker Index,Shipping Benchmark,Clean Tanker Freight,Index,Baltic Exchange,Global,Refined products / clean tanker freight,Benchmark de tanker limpio,Bloomberg; Refinitiv,Proxy de rutas de productos refinados,,,,,
TSI,Freight Transportation Services Index,Freight Aggregate,Transportation Services,Macro / Economic Index,U.S. macro series,USA,Freight activity aggregate,Proxy de actividad agregada de transporte,Bloomberg; Refinitiv; FRED,"Serie macro, no equity",,,,,
PPES / custom basket,Transport Sector Basket / Proxy,Sector Index,Transport Sector,Basket / Custom,User-defined / provider-dependent,Global,Transporte multimodal,Cesta sectorial temática,Bloomberg; Refinitiv,“PPES” requiere definición exacta del vendor,,,,,
World Risk / custom,World Risk Proxy,Risk / Insurance,World Risk,Composite / Custom,Provider-dependent,Global,Riesgo geopolítico / cobertura,Señal de riesgo sistémico,Bloomberg; Refinitiv,Requiere definición exacta del índice fuente,,,,,
Insurance Cost Proxy,Marine Insurance / Coverage Cost Proxy,Risk / Insurance,Coverage Cost,Composite / Custom,Provider-dependent,Global,Coste de cobertura marítima,Señal de prima / hardening market,Bloomberg; Refinitiv,"Suele modelarse con proxies, no con un ticker único",,,,,
custom,Logistics Circle / Transmission Basket,Logistics Circle,Logistics Ecosystem,Basket / Custom,User-defined,Global,Transmisión de shocks logísticos,Cesta de players y cotizantes,Bloomberg; Refinitiv,Conviene construir basket temático,,,,,
UPS,"United Parcel Service, Inc.",Logistics,Parcel / Integrated,Equity,NYSE,USA,"Parcel, express, logistics",Player global de paquetería y supply chain,Bloomberg; Refinitiv,Proxy de actividad logística y B2B shipments,,,,,
FDX,FedEx Corporation,Logistics,Parcel / Integrated,Equity,NYSE,USA,"Express, parcel, air-ground freight",Player global de transporte exprés,Bloomberg; Refinitiv,Sensible a demanda industrial y e-commerce,,,,,
EXPD,"Expeditors International of Washington, Inc.",Logistics,Freight Forwarding,Equity,NYSE,USA,"Freight forwarding, customs, ocean/air",Proxy asset-light de forwarding,Bloomberg; Refinitiv,Alta sensibilidad a volúmenes y yields,,,,,
CHRW,"C.H. Robinson Worldwide, Inc.",Logistics,3PL / Brokerage,Equity,NASDAQ,USA,"Truck brokerage, forwarding, 3PL",Intermediación logística,Bloomberg; Refinitiv,Referencia de brokerage freight USA,,,,,
GXO,"GXO Logistics, Inc.",Logistics,Contract Logistics,Equity,NYSE,USA,"Warehousing, contract logistics",Exposición a fulfillment y warehousing,Bloomberg; Refinitiv,"Menor exposición directa a océano, sí a cadena logística",,,,,
XPO,"XPO, Inc.",Logistics,LTL / Brokerage / Logistics,Equity,NYSE,USA,"LTL, brokerage, transport services",Player de transporte terrestre y logística,Bloomberg; Refinitiv,Señal de actividad industrial / domestic freight,,,,,
UNP,Union Pacific Corporation,Rail,Class I Railroad,Equity,NYSE,USA,Rail freight,Benchmark rail USA oeste,Bloomberg; Refinitiv,Alta exposición a intermodal e industrial,,,,,
CSX,CSX Corporation,Rail,Class I Railroad,Equity,NASDAQ,USA,Rail freight,Benchmark rail USA este,Bloomberg; Refinitiv,"Exposición a intermodal, carbón e industria",,,,,
NSC,Norfolk Southern Corporation,Rail,Class I Railroad,Equity,NYSE,USA,Rail freight,Benchmark rail USA este,Bloomberg; Refinitiv,Intermodal / mercancías industriales,,,,,
CNI,Canadian National Railway Company,Rail,Class I Railroad,Equity,NYSE,Canada,Rail freight,Red transfronteriza Canadá-USA,Bloomberg; Refinitiv,Fuerte componente intermodal y puertos,,,,,
CP,Canadian Pacific Kansas City Limited,Rail,Class I Railroad,Equity,NYSE,Canada,Rail freight,Red Norteamérica integrada,Bloomberg; Refinitiv,Ticker histórico citado como CP,,,,,
ZIM,ZIM Integrated Shipping Services Ltd.,Ocean Shipping,Container Shipping,Equity,NYSE,Israel / Global,Container shipping,Pure play de contenedores,Bloomberg; Refinitiv,Muy sensible a freight rates spot,,,,,
MATX,"Matson, Inc.",Ocean Shipping,Jones Act / Ocean Transport,Equity,NYSE,USA,"Ocean shipping, domestic / Pacific",Exposición marítima e intermodal,Bloomberg; Refinitiv,Más defensivo que liners globales,,,,,
DAC,Danaos Corporation,Ocean Shipping,Containership Lessor,Equity,NYSE,Global / Greece-linked,Vessel ownership / containership leasing,Owner / lessor con sensibilidad a charter rates,Bloomberg; Refinitiv,Exposición a time charters,,,,,
MMC,"Marsh & McLennan Companies, Inc.",Insurance Broker,Commercial Insurance / Reinsurance Brokerage,Equity,NYSE,USA,"Risk advisory, insurance brokerage",Exposición indirecta a marine / logistics risk,Bloomberg; Refinitiv,“MRSH” no es el ticker; el correcto es MMC,,,,,
AON,Aon plc,Insurance Broker,Commercial Insurance / Reinsurance Brokerage,Equity,NYSE,Global,"Insurance brokerage, reinsurance, risk",Exposición a coberturas corporativas,Bloomberg; Refinitiv,Relevante para pricing de riesgo,,,,,
AJG,Arthur J. Gallagher & Co.,Insurance Broker,Commercial Insurance / Benefits / P&C brokerage,Equity,NYSE,USA / Global,Insurance brokerage,Exposición indirecta a líneas marine y transport,Bloomberg; Refinitiv,Broker diversificado,,,,,
TRV,"The Travelers Companies, Inc.",Insurer,P&C Insurance,Equity,NYSE,USA,Commercial insurance,Exposición indirecta a transporte / property-casualty,Bloomberg; Refinitiv,"No broker, sino aseguradora",,,,,
